name,output,flag,username,timestamp
test_10,C:\Users\ali koteich\Desktop\project_test\flagged\output\tmp6_iww2if.json,,,2022-09-20 11:45:34.292195
test_10,C:\Users\ali koteich\Desktop\project_test\flagged\output\tmp57gu9zoo.json,,,2022-09-20 11:45:35.613406
