0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,,,
1.67,2.15,0.53,-0.72,-0.14,1.27,1.41,0.75,0.24,0.65,0.87,3.28,2.78,-2.29,-3.19,1.44,3.42,0.42,-1.55,-1.14,-3.63,-2.1,0.76,1.15,-0.04,-2.69,-0.04,-0.19,0.67,-0.08,-64.09,-39.12,17.15,178.47,19.71,-155.09,1.16,28.02,58.17,-27.71,203.74,-218.32,-61.4,-41.02,143.07,166.32,-143.19,-55.97,-69.15,45.84,357.79,131.1,-273.93,-202.58,161.25,269.41,30.27,-170.47,-106.87,24.05,0,0,1
1.83,0.38,0.59,0.61,0.46,0.58,1.22,0.88,0.82,0.73,3.73,-0.33,-1.18,-0.87,-0.54,1.58,2.2,-0.04,-0.33,-0.33,-2.02,-1.41,-0.34,0.62,1.12,-0.13,-0.95,-0.82,-0.46,0.26,48.89,-2.5,56.64,5.49,-30.76,2.14,-2.81,102.91,5.55,-41.69,215.39,-66.89,-168.15,-109.31,19.96,195.19,56.46,-16.3,-54.75,-52.19,-47.12,-297.85,-23.99,51.82,186.77,245.91,-132.39,-134.28,-69.03,-11.23,0,0,1
0.71,0.45,0.55,0.74,1.07,1.01,0.76,0.91,0.7,0.78,1.3,1.45,0.16,-0.95,-0.21,-0.44,-0.61,1.47,-0.03,-0.17,0.93,0.94,-1.83,-0.75,-0.39,-0.96,-0.88,-0.4,-0.62,1.22,1811.1,45.72,162.11,228.03,120.67,-347.47,-1347.96,-1486.08,-1084.78,-679.32,99.3,398.56,421.08,-5,-8.61,-34.79,-144.23,79.22,-119.26,-219.73,245.06,124.21,-157.35,-61.16,36.19,61.22,138.92,181.7,-207.03,-51.27,0,0,1
0.41,0.66,0.43,0.76,0.74,0.79,0.43,0.74,0.67,0.01,1.74,2.03,1.02,-0.42,0.67,0.91,0.35,2.51,1.32,1.94,0.16,0,1.97,1.49,-0.04,1.03,0.3,0.58,-0.87,0.38,-1976.93,-1418.27,-967.47,57.8,938.05,1266.42,1418.27,476.44,-988.53,-1366.52,-399.23,-428.65,-454.77,207.46,309.51,222.05,347.84,54.87,-113.46,-577.82,-157.59,-138.85,-145.81,-84.29,131.71,177.37,253.66,308.47,-296.75,-167.85,0,0,1
0.63,0.32,0.16,0.74,0.73,0.14,0.5,-1.2,0.44,0.29,1.28,2.58,1.96,0.77,-0.76,-0.46,-0.35,-1.2,2.31,2.5,-0.9,-1.49,0.15,1.98,1.78,0.36,1.83,2.6,2.01,-1.79,-2000,-1942.02,-565.67,-112.37,251.22,1413.21,1870.79,891.05,-297.3,-1827.21,-257.14,-437.74,-600.46,-313.96,100.22,248.23,-66.47,-450.56,143.74,-0.31,-49.5,171.75,37.23,-178.65,-172,244.14,515.62,668.21,529.42,-317.93,0,0,1
-0.01,-0.41,-0.7,0.1,-0.15,-0.06,-0.48,-0.1,0.49,0.6,1.97,-0.09,-1.05,-0.12,2.16,0.71,-1.6,-0.16,1.25,0.72,-4,-0.63,4,0.06,-4,-1.32,4,2.06,-4,-1.69,268.13,31.74,-368.96,174.26,311.16,60.73,-358.4,139.89,179.44,12.82,397.64,-608.64,-561.83,653.81,604.19,-499.57,-602.6,526.67,533.63,-294.98,226.68,-291.63,-2.62,36.38,196.29,-282.71,-162.23,65.19,132.08,-116.82,0,0,1
-0.2,-0.14,-0.01,0.19,-1.01,0.34,0.12,0.89,0.78,1.12,3.77,3.06,-1.88,-4,0.31,3.98,-0.28,-2.63,0,-0.68,1.95,1.36,0.11,-0.79,0.97,2.46,-0.97,-0.42,0.74,-0.6,175.11,-159.48,-189.51,-53.59,375,395.63,-207.95,-367.8,204.77,118.59,-184.39,68.91,178.83,-13.43,-323.91,21.48,392.82,-61.04,-144.23,121.7,605.71,-274.72,-963.5,24.48,867,281.92,-570.25,-221.86,310.61,-6.96,0,0,1
-0.13,0.35,-0.15,0.55,-0.14,0.25,0.48,0.15,0.77,0.34,3.37,2.53,-0.61,-4,-0.56,2.53,2.56,0.15,-3.5,-1.51,1.89,0.89,-0.16,-0.42,-0.03,1.37,1.15,0.05,-0.4,-0.5,208.68,-128.6,-602.91,9.4,495.24,250.37,-64.94,-536.32,65.98,420.78,-227.05,236.21,168.4,-11.96,-180.85,-234.37,65.19,121.83,65.67,-90.82,595.21,-277.34,-742.61,-140.62,674.62,651.12,-129.03,-638.85,-376.71,450.68,0,0,1
0.48,0.39,-0.54,0.28,0.97,-0.07,0.4,-0.97,0.16,0.88,1.5,1.13,-0.87,-0.14,-0.29,1.25,2.48,-1.1,-0.22,-0.52,-3.15,-1.47,1.32,3.46,0.76,-3.59,-3.02,1.84,3.94,0.65,379.09,-30.4,-414.18,-152.1,159.55,437.99,48.46,-489.87,-258.79,189.03,451.05,-279.3,-565.43,-158.39,513.18,765.08,-130.49,-721.74,-283.63,557.74,232.12,-149.6,-227.78,22.89,17.58,252.5,-256.96,-317.81,0.61,27.83,0,0,1
1.83,1.91,1.21,0.79,0.55,0.32,0.4,0.56,0.63,0.76,1.4,1.99,0.83,-0.02,-0.29,0.14,-0.07,-0.15,0.01,0.14,-2.1,-2.86,-1.2,-0.61,0.03,0.38,0.4,-0.12,0.1,-0.05,500.73,113.77,-54.87,-135.31,-145.69,-126.83,-85.14,0.31,-19.47,2.56,333.01,89.36,-171.26,-231.02,-244.57,-174.26,-61.1,1.04,-11.72,23.32,266.48,-3.48,-99.18,-96.92,-5.07,21.36,-17.64,-3.3,12.57,6.96,0,0,1
