0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,forehand,topspin,bad form
-3.18,-4,-4,-4,-4,-4,-4,-2.51,-1.42,-0.81,3.18,4,4,4,3.94,-0.16,0.09,-0.94,-0.73,-0.56,-0.84,-1.66,-1.75,-3.81,-1.55,0.03,1.16,0.2,0.29,0.88,216.98,279.66,335.33,245.73,-51.76,-213.87,81.3,-91.37,17.4,-13.24,220.64,191.53,205.14,404.42,234.25,-121.89,-116.7,62.19,-28.38,-14.22,-200.99,-386.11,-872.38,-1252.62,-1413.33,-849.43,-451.72,-305.85,-126.65,-71.59,1,1,0
-4,-4,-4,-4,-4,-4,-3.75,-2.37,-1.37,-0.8,2.88,4,4,4,1.34,-1.66,-1.09,-0.52,-1.16,-0.95,-0.46,-0.52,-0.34,0.15,-0.16,1.17,1.44,0.9,0.97,1.59,225.52,197.69,-4.27,-183.35,-261.78,-237.67,-35.22,75.2,-37.11,-12.57,233.22,381.35,361.88,357.97,170.1,-186.46,-139.16,-67.69,-33.51,-42.72,-241.21,-406.68,-1060.12,-1343.14,-1297.12,-773.13,-322.69,-228.27,-82.03,21.3,1,1,0
-3.81,-4,-4,-4,-4,-4,-3.81,-2.19,-1.44,-0.74,3.31,4,4,4,1.67,-0.59,-2.42,-0.61,-0.44,-0.34,-0.57,-1.9,0.33,-0.62,-1.13,-0.68,1.11,1,0.59,0.67,201.9,67.5,-60.06,150.82,234.13,-446.47,51.45,201.66,-18.37,39.12,239.87,260.38,-78,139.83,36.8,-93.69,-259.34,-95.58,43.03,7.02,-297.97,-534,-1012.15,-1304.5,-1232.36,-883.79,-252.93,-63.6,-11.6,33.57,1,1,0
-3.05,-4,-4,-4,-4,-4,-3.23,-2.01,-1.6,-1.05,3.23,4,4,3.8,0.87,-0.18,-0.95,-0.13,-0.46,-0.96,-1.76,-2.65,-3.25,-4,-3.1,-1.44,1.14,1.28,0.7,0.79,236.45,312.5,446.04,218.51,-12.21,-58.59,11.47,68.91,36.5,-26,160.52,148.38,300.11,294.74,-3.3,-195.31,-247.5,-60.12,25.7,30.76,-200.81,-405.52,-899.29,-1253.91,-1112.61,-772.58,-424.8,-195.13,-138.92,-71.35,1,1,0
-3,-4,-4,-4,-4,-4,-3.63,-1.95,-1.37,-0.88,2.88,4,4,4,1.51,-0.39,-1.58,-0.48,-0.83,-0.88,-1.37,-1.94,-2.66,-4,-2.85,-0.54,0.01,0.31,0.79,0.8,271.67,376.16,414.43,321.84,73.73,-124.39,10.68,158.02,33.87,-38.02,146.67,154.17,384.16,504.88,96.8,-103.52,-99.3,-116.39,-24.11,29.72,-136.84,-340.15,-1000,-1272.77,-1179.26,-820.74,-294.01,-133.24,-103.88,17.88,1,1,0
-3.51,-4,-4,-4,-4,-4,-4,-3.53,-2.24,-1.52,3.17,3.34,2.82,2.47,0.89,-0.72,-1.27,-1.57,-1.8,-1.51,0.56,0.07,0.36,1.36,0.87,0.63,0.87,0.41,0.2,0.51,176.7,81.24,-130.62,-171.51,-35.52,88.38,-113.53,32.65,3.91,-52.31,254.09,368.53,268.19,131.16,254.03,307.5,110.17,77.09,43.46,-23.38,-129.58,-309.02,-605.41,-982.67,-1381.84,-1197.69,-652.77,-428.47,-246.34,-78.49,1,1,0
-4,-4,-4,-4,-4,-4,-4,-2.63,-1.64,-0.79,3.19,4,3.6,3.25,0.87,-1.96,-1.63,-1.59,-1.58,-1.25,0.14,-0.03,-0.14,-0.11,1.02,1.4,1.52,1.36,1.54,1.11,61.58,-17.94,-193.05,134.83,-317.26,-279.66,108.34,-38.02,-2.38,-47.91,215.52,226.87,129.64,126.95,132.14,-120.54,-84.05,32.23,51.21,67.08,-241.64,-545.78,-1248.96,-1596.86,-1382.2,-917.79,-426.82,-183.96,-15.2,79.1,1,1,0
-4,-4,-4,-4,-4,-4,-4,-3.04,-1.97,-0.99,3.23,4,4,3.21,1.29,-0.77,-1.67,-1.41,-1.74,-1.32,0.27,0.55,-0.01,-1.12,-0.35,0.82,0.58,1.43,1.24,1.28,176.33,142.27,-67.81,-36.5,-72.94,-344.48,11.6,-25.7,-31.25,-45.04,148.19,275.45,334.23,499.21,258.91,62.01,-76.66,-60.18,15.44,5.8,-120.24,-324.77,-973.08,-1513,-1535.77,-904.42,-503.85,-288.45,-79.71,48.95,1,1,0
-4,-4,-4,-4,-4,-4,-2.58,-1.45,-0.65,-0.01,3.43,4,3.85,1.06,-0.56,-2.06,-1.16,-1.39,-1.25,-0.92,-0.24,-0.43,1.12,0.76,2.19,1.36,1.01,1.11,0.84,0.75,27.22,11.29,-307.13,-304.26,-218.81,20.32,57.19,6.1,-2.26,-14.53,267.82,220.46,278.14,80.81,-218.2,13.43,34.36,80.2,81.18,-4.03,-498.05,-861.57,-1625.67,-1401.31,-1031.25,-455.51,-184.45,-48.52,64.58,131.96,1,1,0
-3.66,-4,-4,-4,-4,-4,-2.63,-1.33,-0.61,-0.01,3.21,4,4,4,-0.66,-2.5,-1.08,-0.93,-0.98,-0.53,-1.31,-2.1,-3.38,-4,-1.38,0.73,0.92,0.96,0.86,0.78,217.59,338.5,361.33,345.15,-295.9,99.55,59.2,-53.47,-52.98,-39.43,173.77,143.49,398.62,526.18,-78.98,-137.7,11.41,24.41,59.88,1.1,-247.25,-482.36,-1100.46,-1390.5,-1166.56,-505.25,-223.82,-109.74,15.08,70.19,1,1,0
