0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-3.87,-4,-4,-4,-4,-4,-0.76,0.73,0.88,0.62,2.1,4,4,1.69,-2.42,-2.77,-0.74,0.17,-0.4,-0.22,-2.05,-2.09,-4,0.14,-3.07,-0.64,1.44,0.63,-0.77,-0.56,-50.66,85.88,357.24,-151.37,400.27,-256.1,-23.56,82.34,138.43,102.29,68.6,-34.06,1.28,-197.81,-85.45,99.37,-272.52,73.67,110.17,-6.9,-267.64,-1018.37,-2000,-1982.36,-766.91,-41.14,267.52,131.1,73.97,88.81
-3.7,-4,-4,-4,-4,-4,-0.66,0.82,0.92,0.47,0.79,4,4,3.82,-3.04,-2.46,-0.95,0.12,-0.02,-0.41,-2.82,-2.21,-4,-0.22,-1.87,-2.24,-0.56,0.26,-0.27,-0.65,61.46,0.61,559.81,-146.3,665.47,127.14,-0.12,-146.85,-15.87,6.65,195.43,15.14,55.05,-137.7,-102.36,155.94,-300.54,-55.36,51.76,19.59,-42.6,-675.48,-1999.57,-1999.02,-954.53,-134.09,125.79,198.43,57.19,53.77
-4,-4,-4,-4,-4,-3.63,-0.76,0.75,0.4,0.06,1.43,4,4,3.27,-3.13,-2.73,-1.07,-0.72,-0.56,-0.49,-2.93,-3.75,-4,-1.19,-3.11,-2.49,0.81,-0.37,-1.11,-0.87,76.66,150.82,584.66,97.78,455.81,23.32,-107.67,-54.2,17.64,-14.28,150.76,12.15,62.93,56.15,46.69,-38.39,-264.4,254.03,46.88,-21.67,-183.47,-874.69,-2000,-1961.73,-707.34,-19.65,144.1,180.3,55.6,113.22
-3.75,-4,-4,-4,-4,-4,-0.94,0.18,0.56,0.41,1.35,4,4,2.33,-3.75,-2.69,-1.27,-0.88,-0.7,-0.38,-3.14,-2.49,-4,-3.18,-4,-2.46,-0.14,0.84,-1.21,-0.81,105.35,151.31,608.76,248.05,613.04,-225.77,42.11,-38.88,15.44,12.08,175.9,21.48,263.98,242.68,-4.39,224.24,-252.56,82.21,155.58,30.76,-143.13,-813.35,-1908.26,-1999.02,-844.67,-82.82,126.22,81.54,107.36,154.66
-3.39,-4,-4,-4,-4,-4,-0.02,0.77,0.58,0.07,1.3,4,4,4,-3.99,-3.47,0.97,0.02,-0.33,-0.25,-3.05,-2.84,-4,0.73,-4,-2,2.35,0.43,-1.15,-0.94,51.27,162.66,448.61,143.19,630.86,-469.24,82.09,5.86,15.56,25.21,74.28,-19.53,-106.99,-50.6,102.17,186.52,-418.15,172.18,140.81,18.74,-183.9,-712.34,-1914.67,-1998.9,-1067.38,47.85,360.35,91.19,79.9,141.48
-3.05,-4,-4,-4,-4,-4,-0.6,0.14,0.25,0.47,1.53,4,4,4,-2.75,-2.23,-0.83,-0.32,-0.45,-0.28,-2.87,-3.04,-4,-2.5,-2.68,0.09,1.28,0.41,-0.8,-0.77,64.88,144.78,618.84,116.03,270.26,-345.15,47.61,188.84,125.31,62.44,57.8,-83.31,-168.46,-14.65,-158.45,62.87,-152.65,-21.24,66.89,-6.41,-114.07,-618.71,-1874.51,-2000,-743.29,-168.21,245,89.23,92.83,150.88
-4,-4,-4,-4,-4,-1.7,0.73,0.65,0.12,0.01,4,4,4,3.39,-4,-0.31,0.35,0.33,-0.72,-0.32,-4,-4,-1.03,-4,-4,-1.9,1.19,-0.45,-1.61,-0.94,202.58,241.58,273.5,1309.39,155.21,-284.06,-67.69,-56.76,12.57,-85.75,170.04,-15.99,-24.9,157.53,177.31,-176.7,-149.11,206.42,85.21,4.27,-218.63,-1151.25,-2000,-1745.97,-262.94,272.77,256.35,35.22,-10.01,135.93
-3.46,-4,-4,-4,-4,-4,-1.73,0.82,0.63,-0.06,1.02,4,4,3.17,-1.89,-3,-0.97,0.43,-0.48,-0.85,-2.92,-3.5,-4,-1.41,-2.25,0.19,1.02,0.36,-0.76,-0.41,74.71,252.69,751.34,-192.87,276,-144.53,184.02,103.15,85.82,21.36,116.64,2.14,41.87,-18.98,-189.27,111.76,-255.98,-30.21,24.23,-8.48,-136.47,-686.58,-1986.94,-1993.23,-828,-280.15,167.36,110.9,35.03,108.34
-4,-4,-4,-4,-4,-3.59,-0.84,0.68,0.51,0.12,2.08,4,4,-0.85,-3.21,-2.85,-1.06,-0.04,-0.57,-0.61,-3.42,-3.82,-3.97,-2.74,-3.24,-0.15,0.59,-0.61,-0.93,-0.65,112.3,203.74,257.14,459.96,206.24,-267.09,12.94,-2.56,14.1,8.42,211.43,77.82,-18.74,-99.3,30.76,52.19,-83.25,89.97,36.62,38.88,-242.37,-1267.88,-2000,-1660.71,-561.04,-73.36,169.07,96.19,62.01,117.19
-4,-4,-4,-4,-4,-4,-2.92,-0.36,0.45,0.38,1.51,4,4,3.45,-0.76,-4,-1.77,0.13,0.17,0.21,-2.06,-1.64,-4,-2.53,-1.13,1.32,0.03,0.4,-0.49,-0.66,24.48,33.26,616.21,-1.34,60.91,-86.55,223.33,44.01,-10.38,84.66,120.42,-33.02,92.41,244.81,-18.31,3.72,-275.94,-53.41,144.35,65.8,-84.66,-780.4,-1959.29,-1977.17,-875.37,-206.36,239.62,426.57,310,301.03
-3.87,-4,-4,-4,-4,-4,-2.43,-0.24,0.68,0.74,2.01,4,4,4,-1.96,-3.51,-2.02,-0.32,-0.11,0.39,-1.77,-1.83,-3.47,-4,-3.29,-0.63,0.18,0.59,-0.21,-0.8,55.73,202.03,603.33,397.09,94.6,-235.11,101.68,105.47,-13.61,22.28,174.87,171.81,287.6,386.84,164.37,175.17,-343.99,-161.5,89.36,54.08,-248.9,-786.56,-1923.89,-1908.94,-937.62,-292.18,243.59,323.73,274.66,250.55
-4,-4,-4,-4,-4,-4,-0.88,0.73,0.85,0.81,2.46,2.45,0.97,4,-4,-3.06,-0.93,0.17,-0.24,-0.21,-1,-2.33,-3.56,-1.66,-4,-0.25,-0.16,0.26,-0.89,-1.25,-21.42,96.01,312.81,240.3,484.37,-322.27,-17.7,43.7,18.98,30.64,102.36,156.8,-203.37,129.58,32.29,17.21,-31.37,-38.82,130.68,24.54,-184.08,-842.35,-1407.9,-1999.94,-1068.73,-25.51,224.79,151.18,34.36,88.13
-3.97,-4,-4,-4,-4,-4,-1.81,0.12,0.7,0.5,1.87,4,4,4,-0.95,-3.13,-0.98,-0.29,-0.25,-0.25,-1.86,-0.52,-4,-3.99,-4,-2.4,-0.04,0.81,-0.53,-0.88,18.01,-89.29,577.94,179.5,646.24,-78.98,73.55,-56.58,29.11,28.5,131.65,10.62,289.18,235.84,87.34,205.32,-372.62,6.16,110.05,41.81,-27.04,-703.37,-1880.55,-1999.88,-1114.01,-372.8,185.3,162.72,78.49,71.11
-3.96,-4,-4,-4,-4,-4,-0.83,0.62,0.85,0.43,2.01,4,4,-1.61,-2.13,-2.59,-0.78,-0.55,-0.18,-0.55,-2.31,-3.71,-4,-0.95,-0.73,-3.21,-0.22,-0.11,-0.76,-0.67,36.87,378.97,593.57,79.35,289.37,242.61,42.18,-112.24,-55.6,-1.65,127.14,-10.5,89.29,-225.83,-8.91,220.83,-222.72,67.14,80.2,21.97,-288.88,-1060.73,-2000,-1549.56,-637.7,-187.01,182.74,141.42,75.74,44.56
-3.08,-4,-4,-4,-4,-4,-1.02,0.54,0.64,0.38,1.36,4,4,1.71,-3.69,-2.26,-0.54,-0.14,-0.35,-0.53,-3.58,-3.74,-4,-4,-4,-0.95,1.7,0.03,-0.74,-0.51,112.55,208.98,842.71,390.62,371.28,-271.18,6.16,66.83,34.97,-47.3,193.97,61.52,14.16,17.88,92.53,34.61,-313.54,78.37,15.5,52.06,-156.68,-772.64,-1994.38,-1959.23,-714.97,-108.03,203.55,87.89,78.06,102.36
-3.6,-4,-4,-4,-4,-4,-2.87,-0.46,0.68,0.75,1.12,3.34,4,4,-1.19,-3.02,-1.24,-0.23,-0.11,0,-2.8,-2.76,-3.57,-4,-3.39,-0.2,0.25,0.88,-0.21,-0.53,137.57,-0.79,536.68,667.36,278.32,-151.92,65.61,21.91,34.48,25.27,433.9,226.93,65.25,600.89,323.24,164.73,-258.73,-30.76,22.58,21.48,17.7,-601.44,-1866.88,-2000,-1013.49,-288.64,209.66,227.91,194.03,205.38
-3.9,-4,-4,-4,-4,-4,-1.38,0.02,0.49,0.72,1.36,4,4,4,-2.71,-1.75,-1.36,-0.19,-0.1,-0.55,-2.64,-3.08,-4,-3.37,-3.96,-1.6,0.3,1.09,-0.73,-1.14,159.97,139.34,529.85,282.9,690.12,-270.57,-43.64,-14.71,41.08,-43.64,192.14,53.34,164.55,259.52,-21.91,98.82,-268.62,-82.34,141.42,57.13,-104.61,-644.59,-1904.97,-2000,-814.27,-159.67,158.57,131.71,77.64,91.86
-3.86,-4,-4,-4,-4,-4,-1.79,-0.2,0.33,0.44,1.42,4,4,1.55,-1.89,-1.52,-1.19,-0.22,-0.5,-0.51,-3.09,-3.34,-4,-3.6,-1.96,0.34,-0.07,0.04,-0.5,-0.73,115.66,110.96,800.78,30.33,112.37,-25.57,163.21,-11.17,-0.85,43.27,230.83,-16.24,252.99,155.4,-213.26,50.54,-155.09,34.18,64.21,-18.86,-57.56,-821.59,-2000,-1869.32,-732.3,-148.38,117.25,183.53,185.42,263.85
-4,-4,-4,-4,-4,-2.91,0.37,0.8,0.85,0.62,1.76,4,4,-0.93,-4,-0.99,0.07,0.51,-0.22,-0.37,-2.06,-2.51,-4,0.47,-1.32,-1.2,0.27,0.06,-0.38,-0.55,34,207.4,760.01,44.31,212.59,-68.24,32.53,-39.18,-77.09,-9.46,-18.43,-239.2,111.21,104.25,79.22,85.39,-249.94,19.71,102.66,40.89,-184.81,-997.92,-2000,-1715.39,-497.31,147.95,237.98,129.64,47.42,83.56
-2.99,-4,-4,-4,-4,-4,-1.82,0.09,0.4,0.34,1.53,4,4,2.67,-3.29,-3.2,-1.01,-0.14,-0.2,-0.35,-3.06,-1.34,-4,-3.94,-4,-1.14,1.32,0.49,-0.71,-0.32,60.36,-0.18,759.89,107.42,406.31,-289.86,-31.8,2.87,23.25,-20.94,255.49,-40.77,210.27,211.12,8.06,37.23,-298.58,35.89,124.63,36.87,-2.87,-689.7,-1992.49,-1998.84,-835.69,-188.17,258.85,210.21,145.81,203.98
-3.84,-4,-4,-4,-4,-4,-2.54,-0.6,0.24,-0.11,1.25,4,4,3.9,-1.18,-2.06,-1.92,-0.59,-0.2,-0.42,-3.98,-3.75,-4,-3.28,-2.63,1.07,-0.05,0.21,-0.63,-0.54,175.05,90.76,643.37,45.04,295.53,-280.27,116.33,80.51,-12.51,3.48,301.7,39.12,-32.84,63.35,-209.29,23.56,-175.78,-151.25,85.21,6.96,-51.7,-616.88,-1984.5,-1992.98,-802.86,-350.71,96.19,211.67,232.67,258.73
-4,-4,-4,-4,-4,-2.68,-0.63,0.37,0.41,0.22,2.41,4,4,-2.95,-2.54,-1.78,-0.09,0.72,-0.08,-0.19,-2.46,-2.59,-4,-1.85,-1.47,-0.92,0.45,0.41,-0.5,-0.7,38.57,359.99,587.46,199.58,60.85,-75.26,36.13,-60,-14.28,-12.39,-40.77,-109.99,306.46,-17.15,110.78,196.59,-311.22,22.09,139.89,70.43,-249.33,-1066.35,-2000,-1507.32,-410.89,-52.61,293.58,198.43,87.95,173.1
-4,-4,-4,-4,-1.05,0.13,0.55,0.43,0.01,-1.07,4,4,-3.96,-3.11,-0.9,0.03,0.16,0.23,-0.12,-0.97,-3.99,-3.7,-3.1,0.3,0.48,0.03,-0.56,-0.5,-0.67,-1.6,652.1,112.73,160.71,-311.1,91.25,42.3,7.93,-4.52,41.32,119.38,314.7,394.35,135.44,94.24,-175.9,13.61,55.18,59.88,104.74,46.69,-1854.68,-2000,-681.52,-14.53,339.97,297.18,222.66,184.14,172.67,259.64
-4,-3.86,-1.69,-0.67,-0.22,-0.11,-0.39,-0.72,-0.83,-1.42,-1.34,-2.09,-1.36,-0.28,-0.04,0.07,0.03,0.55,0.68,0.46,-2.4,0.07,-0.34,0.57,-0.17,-0.61,-0.84,-1.01,-0.93,-1.29,264.83,-310.97,47.85,14.77,-103.33,1.77,30.4,-81.54,-101.68,-50.6,67.26,189.64,-201.23,-187.93,135.07,90.88,16.6,54.63,20.02,-75.32,-700.56,-98.57,238.83,322.02,311.58,293.52,367,510.5,459.35,491.39
-3.32,-3.84,-4,-4,-4,-4,-2.98,-1.59,-0.9,-0.24,2.66,4,4,4,-0.55,-0.47,-1.42,-1.53,-0.99,-0.69,-1.56,-0.98,-2.27,-4,-2.4,-2.56,0.73,0.29,0.43,-0.09,5.13,-72.57,382.26,520.14,58.72,88.38,-256.23,81.42,144.17,50.54,60.97,50.05,110.66,349.49,112.79,-210.94,-25.63,-89.78,-163.45,33.51,108.52,-287.41,-1291.32,-1995.85,-1328.06,-474.3,-212.89,43.21,171.33,245.97
-4,-4,-4,-4,-2.98,-1.06,-0.33,-0.01,0.28,0.17,4,4,0.61,-1.2,-1.94,-1.3,-0.69,-0.5,-0.4,-0.26,-1.96,-4,-1.63,-3.05,-1.09,-0.48,0.5,-0.09,-1.2,-1.03,264.04,430.48,140.62,136.11,-150.21,-40.1,-2.44,23.56,15.14,13.98,-56.03,215.88,54.08,-38.7,118.84,-87.34,-156.13,119.32,73.36,-90.76,-1065.37,-1997.86,-1683.11,-319.27,-103.88,155.52,149.72,185.79,192.14,237.18
-4,-4,-4,-4,-4,-4,-2.52,-0.46,-0.16,-0.49,1.74,4,4,4,-3.84,-2.86,-1.55,-1.01,-0.79,-1.07,-2.29,-1.61,-2.34,-4,-1.85,-3.43,0.29,0.86,-0.05,-1.13,95.21,-117.13,337.16,367.74,159.24,108.15,-193.12,36.01,53.41,76.97,157.04,-41.5,65.67,194.89,152.53,-60.3,-22.58,-70.25,97.05,81.54,278.81,-133,-1410.4,-2000,-1508.85,-399.48,36.99,107.97,142.76,230.47
-4,-4,-4,-4,-3.08,-1.98,-0.47,-0.16,-0.12,-0.43,4,4,-0.58,-0.95,-2.53,-2.08,-0.68,-0.37,-0.02,0.15,-4,-4,-4,0.16,-0.15,0.19,-0.41,-1.05,-1.14,-0.76,598.57,451.9,212.83,-150.45,86.91,-4.09,114.5,123.54,67.5,-3.05,203.92,343.75,-23.68,-31.01,-15.32,158.02,3.42,31.19,-8.54,-73.24,-1915.53,-1982.12,-910.52,-375.85,-100.1,168.7,184.88,265.99,343.51,374.76
