0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-4,-4,-4,-4,-4,-0.34,-1.06,-0.22,-0.17,-0.07,-2.84,-2.43,2.23,4,4,4,1.65,1.03,1,1.06,0.87,0.99,1.42,3.93,1.3,1.89,1.03,0.54,0.71,0.95,-36.19,-52.61,389.95,-49.32,143.43,23.13,-74.52,-21.85,-89.11,-125.79,23.01,133.12,-187.93,-203.43,-26.25,-88.81,75.32,27.22,16.97,29.3,417.36,768.62,992.98,850.46,724.43,266.66,-61.71,-4.46,-10.93,-40.59
-4,-4,-4,-4,-2.46,-0.3,-0.97,-0.26,-0.1,-0.17,-2.83,0.83,4,4,4,3.83,0.6,1.12,1.2,1.08,0.94,-0.25,1.42,3.18,-0.33,1.72,1.18,0.5,0.99,1.1,117.8,156.13,167.79,-166.75,43.52,-22.64,-43.76,-39,-88.26,-56.95,88.93,3.91,-320.56,-63.96,108.46,-130.86,57.68,-13.67,-12.45,28.56,622.19,983.34,950.68,739.38,593.32,-43.15,22.16,49.13,9.03,-23.32
-4,-4,-4,-4,-1.96,-1.1,-0.71,-0.1,-0.16,-0.15,-1.81,0.96,3.31,4,4,2.86,1.71,1.59,1.05,0.97,2.8,2.8,4,4,3.78,2.15,0.77,0.66,0.67,0.44,461.12,680.11,550.84,-13,75.74,-27.53,73.06,-67.69,-81.6,-11.78,58.17,-205.02,-392.21,-156.49,-201.97,90.7,74.58,76.23,82.03,46.14,625.18,911.8,753.23,756.71,315.37,85.08,55.6,32.17,-19.9,-52.12
-4,-4,-4,-4,-4,-1.21,-1,-0.36,-0.11,-0.11,-1.63,0.34,3.81,4,4,4,1.8,1.26,1.18,1.13,1.84,1.63,2.65,4,1.56,2.4,1.74,0.57,0.72,0.91,110.66,471.01,524.72,29.91,153.75,-32.96,-2.5,58.59,-99.67,-77.7,153.81,74.04,-370.97,-265.56,-82.89,-81.48,43.52,23.38,30.09,22.46,527.16,872.62,1154.79,852.84,743.41,192.38,5.07,18.8,2.01,-43.88
-4,-4,-4,-1.38,-0.44,-0.34,-0.08,0.03,-0.13,-0.26,2.15,4,4,4,3.07,1.37,1.08,1.18,1.3,1.51,1.8,3.69,2.75,2.97,1.79,1.08,0.86,0.73,0.56,0.61,358.7,234.44,-27.53,33.51,-50.29,-14.34,-93.26,-96.19,-127.32,-192.63,-156.8,-305.66,-51.21,-145.14,14.28,7.14,31.8,23.07,-0.85,-3.36,979.49,795.65,679.32,336.12,91.92,-5.86,4.7,-33.87,-88.44,-129.09
-4,-4,-3.95,-2.11,-0.99,-0.54,-0.26,-0.14,-0.12,-0.23,3.72,3.83,4,3.56,2.43,1.6,1.22,1.1,1.22,1.37,3.92,4,2.3,2.95,1.49,0.87,0.56,0.45,0.44,0.52,661.68,352.97,-171.02,127.14,7.81,52.8,7.69,-32.59,-46.02,-160.4,-293.52,-368.23,8.85,-102.97,69.95,41.2,51.57,57.19,29.17,37.48,823.79,599.79,593.69,269.84,127.75,65.25,32.1,4.52,-47.61,-93.02
-4,-3.48,-1.61,-0.18,-0.41,-0.12,-0.05,-0.16,-0.18,-0.38,4,4,4,3.62,1.8,1.15,1.11,0.98,1.25,1.67,3,2.39,0.89,1.25,1.07,0.77,0.56,0.57,0.6,0.53,251.65,-360.9,-164.86,205.08,-105.22,13.92,-0.43,-88.56,-59.69,-94.3,-395.45,10.93,172.06,-145.87,55.97,36.8,38.57,56.64,35.1,17.58,497.8,577.33,435.06,120,22.03,-1.95,-29.79,-52,-69.09,-127.56
-4,-2.9,-1.1,-0.86,-0.53,-0.16,-0.16,-0.13,-0.15,-0.28,3.14,4,3.62,2.02,1.5,1.27,1.04,1.11,1.45,1.82,2.86,1.27,2.47,1.65,0.66,0.48,0.53,0.39,0.41,0.6,-143.37,3.66,50.11,-103.15,95.89,-23.5,-49.19,-22.4,-107.91,-121.52,-115.97,63.78,-154.6,115.97,56.4,62.5,76.9,43.15,50.48,19.35,537.11,518.37,233.03,99.91,67.44,13.49,-26.06,-34.67,-74.22,-183.47
-4,-2.27,-0.54,-0.32,-0.22,-0.12,-0.24,-0.31,-0.27,-0.35,4,4,4,1.87,0.99,0.87,0.68,0.6,0.7,0.86,3.78,3.24,2.33,1.97,1.3,0.81,0.55,0.55,0.46,0.31,298.58,-147.4,122.07,-69.82,-4.88,-12.88,-51.03,-44.68,-44.8,-116.15,-502.56,-79.35,-111.88,64.03,71.23,68.6,81.97,62.32,52.06,65.31,693.91,596.86,174.19,1.16,-1.83,-25.57,-52.25,-45.23,-41.14,-52.37
-4,-4,-3.65,-1.68,-0.82,-0.6,-0.26,-0.28,-0.27,-0.21,4,4,3.81,3.83,2.73,1.65,1.08,0.89,0.75,0.84,2.69,3.58,0.87,2.27,1.57,0.96,0.86,0.38,0.13,0.19,885.07,605.83,-806.34,8.18,220.95,-138.61,45.17,11.84,-30.03,-63.9,-156.68,-613.95,325.56,-50.23,-8.24,95.95,42.66,83.74,64.76,30.52,929.75,619.63,541.93,345.21,119.75,52.98,0.98,-14.59,-24.6,-46.88
-4,-4,-2.76,-0.98,-0.02,-0.21,-0.11,-0.07,-0.08,-0.17,3.16,4,4,4,3.43,1.81,1.21,1.13,1.24,1.08,0.98,2.77,2.03,-0.05,0.59,0.51,0.54,0.43,0.48,0.35,585.88,578.61,-247.74,-149.72,125.92,-129.52,-97.11,-57.62,-91.31,-163.39,77.51,-396.18,-23.32,188.9,-40.28,44.31,25.76,28.32,39.67,85.88,963.93,929.14,444.89,311.46,42.11,-48.95,-48.52,-52.92,-78.43,-96.44
-2.41,-4,-4,-4,-4,-2.56,-0.24,-0.34,0.01,0.04,-3.28,-3.66,-0.28,4,4,4,4,1.91,1.38,1.2,1.51,2.07,1.72,4,4,0.59,1.14,0.92,0.65,0.43,136.23,120.12,446.66,553.16,151.55,-353.09,108.83,-57.5,-8.06,-50.11,-67.02,119.32,-91.74,-396.12,-341.92,328,-112.85,53.96,30.46,43.15,41.08,447.08,899.35,912.05,564.39,621.46,133.85,-52.8,-48.28,-72.51
-4,-4,-2.85,-0.13,-0.57,-0.06,0.02,-0.02,-0.07,-0.33,3.61,3.34,4,4,1.84,1.48,1.31,1.13,1.51,2.14,4,3.94,1.99,2.96,1.26,0.37,0.4,0.52,0.51,0.44,580.08,-269.35,-114.75,142.33,-59.39,32.59,-54.08,-164.18,-64.33,-171.87,-667.3,-172.18,35.83,-167.48,116.15,59.02,53.53,89.17,36.07,42.42,668.82,595.28,690.61,191.22,31.19,33.26,-18.31,-39.61,-90.88,-160.95
-3.74,-4,-4,-4,-3.41,-1.18,-0.77,-0.32,-0.23,-0.12,-2.46,-0.94,1.48,2.92,4,4,2.06,1.3,0.91,0.85,1.54,1.56,3.34,4,2.84,3.62,1.51,0.2,0.47,0.6,287.23,374.33,566.35,29.24,34.06,-65.43,8.36,28.5,-54.08,-55.66,-148.32,-147.83,-591.98,-413.64,-140.99,-103.09,107.54,69.46,43.21,41.69,433.96,770.02,823.49,639.28,747.99,181.34,3.48,1.83,-26.43,-26.06
