0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-4,-4,0.21,-1.49,-0.88,-0.79,-0.77,-0.64,-0.45,-0.46,3.03,4,4,0.99,3.09,1.86,1.35,1.25,0.93,0.69,-2.13,-2.34,-3.54,-1.77,0.09,0.32,-0.28,-0.44,-0.12,-0.28,882.08,516.97,446.47,-73.06,134.95,20.2,151.31,114.26,8.06,46.45,500,262.27,20.02,22.28,-159.73,-42.42,-26,-45.96,-27.1,11.54,668.09,922.79,218.2,176.94,209.23,101.26,56.46,2.2,-13.24,-34.18
-4,-4,-4,-4,-0.54,-0.78,0,-0.48,-0.79,-0.78,-3.05,-1.74,4,4,4,1.49,2.95,1.44,1.12,1.55,-1.44,-3.99,-2.48,-3.03,-3.03,0.04,-0.24,-0.36,-0.31,-0.6,168.7,169.19,309.02,695.37,108.4,-190.61,324.4,82.64,122.31,175.84,1053.96,820.56,514.53,89.54,-34.55,-71.66,-115.3,5.92,-15.32,-35.03,302.19,797.49,844.06,689.03,277.59,72.08,216.98,35.83,20.45,10.93
-4,-4,-4,-1.18,-1.33,-0.6,-0.57,-0.58,-0.42,-0.49,0.56,2.13,4,3.86,2.14,3.32,1.95,1.42,1.56,1.58,-2.91,-3.05,-2.56,-2.92,-1.55,-0.78,-0.36,-0.7,-0.47,-0.28,15.44,183.17,749.82,-68.54,153.2,132.87,33.2,117.61,59.02,11.11,1223.75,560.3,149.84,180.85,44.25,-11.23,21.79,0.18,3.85,-7.75,689.88,708.56,637.02,297.36,224.73,198.18,76.66,20.45,-6.71,-34.18
-4,-4,-0.74,-1.29,-0.31,0.21,-0.18,-0.45,-0.46,-0.4,3.75,4,4,0.72,2.07,2.53,1.4,1.12,1.01,0.89,-0.09,1.16,-4,-1.19,-0.99,-0.82,-0.41,-0.7,-0.54,-0.36,546.63,584.59,556.09,-74.04,115.48,65.43,37.9,2.56,-25.7,-12.21,525.63,186.28,88.81,-76.17,-30.52,-44.07,-51.7,-7.26,-39.12,-50.78,801.76,780.88,0.06,36.62,162.72,90.52,-32.96,-53.77,-56.09,-76.97
-4,-4,-1.44,-0.72,-0.05,0.17,-0.15,-0.65,-0.94,-1.04,2.97,4,4,1.79,1.69,2.2,2.03,2.21,1.99,2.29,-0.23,2.34,-3.21,0.4,0.11,0.21,-0.14,-0.7,-0.58,-0.91,668.27,528.2,812.01,-350.89,37.72,63.78,106.02,95.09,43.64,166.08,389.4,55.6,-181.15,-78.25,-72.39,-48.77,-1.95,21.85,-5.8,-104.61,943.6,1047.67,208.8,82.95,94.54,68.54,-11.17,-75.32,-136.41,-223.33
-4,-4,-4,-1.43,0.2,0.22,0.3,-0.22,-0.79,-1.25,-3.14,-1.18,4,4,3.36,2.06,2.51,2.09,1.77,1.64,-0.65,-2.73,2.02,-3.75,-0.46,0.8,0.19,-0.3,-0.78,-0.52,464.78,524.66,221.13,784.61,-223.45,-12.21,80.57,58.96,19.23,-62.44,657.47,264.28,108.34,-199.83,-57.07,-68.18,-23.56,55.48,93.38,94.73,175.9,953.19,1146.55,258.61,286.99,136.35,96.8,-30.4,-92.1,-158.69
-3.96,-4,-4,-4,-1.57,-0.91,0.71,0.34,-0.45,-0.36,-3.13,-3.04,-0.09,4,4,1.13,2.9,2.31,2.26,2.31,2.18,4,2.77,2.66,-3.43,-0.85,0.89,-0.08,-0.82,-0.74,129.09,434.14,388.18,438.66,928.34,-251.77,68.48,-23.56,-10.74,-38.27,309.2,279.54,212.28,314.03,-191.59,-73.06,-84.47,72.81,101.26,52.8,250.67,475.95,1073.97,815.98,193.85,121.64,79.16,3.42,-14.34,-73.49
-4,-4,-4,-2.74,-0.64,-0.25,0.56,-0.17,-0.81,-1.25,-1.36,0.93,4,4,2.26,1.6,4,2.01,1.84,1.78,2.2,-0.31,-3.64,-4,-1.51,-0.45,-1.16,-0.98,-1.16,-1.3,432.62,527.1,619.87,685.06,-322.94,16.66,163.45,59.45,106.45,65.12,640.32,844.97,478.94,-21.42,-26.79,22.09,77.15,20.69,29.3,47.85,126.95,662.54,854.31,573.55,132.26,161.5,184.94,-34.97,-108.58,-146.97
-4,-4,-4,0.67,-1.07,-0.43,0.58,-0.49,-0.88,-0.82,-0.81,4,4,4,-0.02,3.42,3.89,2.3,1.63,2.07,2.52,3.46,1.27,-3.87,0.07,0.45,-0.29,-0.72,-0.58,-0.6,553.65,554.5,946.72,-130.31,107.73,114.69,46.51,128.42,-21.73,-66.53,475.28,322.33,495.67,7.32,-74.65,-119.75,4.7,38.21,43.58,50.72,435,1096.5,674.74,225.1,28.5,254.7,108.34,-147.77,-90.88,-85.27
-4,-4,-0.29,-0.94,-0.16,0.08,-0.03,-0.75,-1.55,-1.27,2.76,4,4,2.36,1.89,2.35,2.45,2.03,1.6,1.91,-2.03,-0.6,-3.78,-0.67,-0.11,-0.55,-0.53,-1.5,-1.81,-1.89,1004.27,860.47,329.04,-261.54,-36.99,208.98,129.52,162.96,177.31,261.84,524.41,-56.88,102.72,-204.59,-70.92,-72.51,-77.82,-26.49,-162.29,-229.25,426.15,945.01,73.3,55.54,82.21,50.9,-49.26,-213.99,-298.71,-279.42
-4,-4,-1.33,-2.35,-1.07,-0.28,-0.62,-1.07,-1.33,-1.61,1.52,4,4,1.25,3.14,3.73,2.14,1.71,1.89,2.05,-2.85,-0.7,-2.75,-0.85,-0.13,-0.18,-0.27,-0.72,-0.79,-0.83,759.03,342.59,509.58,-206.48,123.05,132.51,5,84.96,61.52,108.15,544.37,180.97,173.16,-39.31,-66.41,-64.82,18.13,23.56,-19.1,-76.05,696.47,1139.83,324.65,65.06,275.45,111.21,-63.72,-120.48,-159.42,-242.92
-4,-4,-1.9,-1.84,-0.68,0.31,-0.33,-1,-1.42,-1.68,4,4,4,1.13,2.19,3.92,2.54,1.88,2.26,2.2,2.82,2.18,-1.22,-1.29,-0.17,0.16,-0.32,-0.67,-0.64,-0.58,468.14,336.06,523.8,-22.64,18.13,11.84,42.3,31.01,-47.73,-53.34,47.36,109.74,12.88,-23.93,-77.82,-44.92,17.76,36.87,28.87,-44.19,970.95,931.15,272.52,-57.74,249.82,142.09,-133.18,-155.7,-153.32,-244.08
-4,-4,-2.43,-1.22,-0.74,-0.16,-0.17,-0.5,-1.06,-1.08,3.92,4,4,1.68,0.72,2.67,2.73,1.95,1.77,1.87,4,2.57,-0.79,-1.25,-0.46,-0.15,0.03,-0.58,-0.46,-0.37,515.5,323.67,867.19,-27.22,-19.84,107.12,33.08,-8.73,-72.45,-129.76,-87.4,304.81,88.75,13.67,53.22,-7.69,26,63.23,41.56,16.66,1022.46,1064.27,238.53,-200.01,136.6,161.62,34.48,-123.23,-86.98,-38.27
-4,-4,0.02,-0.44,0,-0.23,-0.6,-0.57,-0.91,-1.05,4,4,3.91,1.71,3.46,1.99,1.38,1.67,1.46,1.32,-1.77,-4,-3.01,-0.25,-1.49,-1.44,-1.09,-1.08,-0.72,-0.88,345.83,1335.39,-472.05,87.1,157.59,32.71,48.71,70.92,-10.38,28.93,692.57,-41.32,165.77,-29.91,108.76,54.69,2.69,-42.05,-63.29,-82.58,955.02,718.14,98.33,156.98,145.87,-15.26,-29.54,-33.87,-97.66,-122.31
-4,-4,-4,-4,-1.99,-1.24,-0.59,-0.22,-0.47,-0.73,-2.57,-3.97,0.98,4,3.72,3.95,3.82,2.36,1.69,1.87,-1.91,-2.31,-4,-1.63,-3.58,-2.3,-0.15,-0.53,-0.74,-1.03,-115.54,-318.6,526.37,451.42,-51.76,170.29,35.46,92.1,101.01,94.06,833.62,1007.45,651.06,179.57,219.18,-74.65,-165.71,-60.73,-45.53,-12.7,272.09,402.95,783.08,791.75,167.24,254.21,139.34,-5.55,-70.86,-113.22
-3.71,-4,-4,-4,-4,-2.45,-2.03,-0.65,-0.48,-0.46,-2.8,-2.16,0.08,4,4,4,1.31,3.43,2.29,2.08,2.13,3.3,2.72,2.79,3.76,-1.05,-2.48,-0.6,-0.61,-1.07,107.54,518.43,514.22,343.2,500.37,336.61,58.65,42.48,-8.61,48.83,281.62,341.06,167.97,121.4,67.93,77.21,40.89,-94.79,-41.99,-47,225.1,437.99,951.23,1099.18,899.54,301.82,30.09,151.67,25.27,-10.68
-4,-4,-4,-1.1,-3.28,-1.61,0.53,-0.97,-0.67,-0.6,2.11,4,4,4,-0.12,2.97,4,1.4,1.97,2.19,1.38,1.43,2.75,-0.38,-2.57,-0.05,0.17,-1.7,-0.73,-0.28,709.96,422.91,281.37,782.23,-51.21,101.44,-74.04,235.23,-52,-17.94,333.44,195.37,228.21,5.74,149.48,-176.51,22.77,43.33,-48.34,-9.89,888.79,1375.12,1397.83,578.98,-198.67,364.44,45.84,-130.86,-4.27,-71.72
-4,-4,-4,-4,-2.9,-0.99,-1.39,-0.57,-0.1,-0.46,1.71,3.18,2.99,4,4,4,1.27,1.35,2.07,1.45,1.71,1.7,0.13,2.39,-2.56,-2.07,-1,-1.53,-0.74,-0.76,402.65,476.87,726.38,633.12,629.03,416.93,81.67,112.67,15.44,33.14,580.08,722.96,629.27,71.04,289.92,-260.62,-37.9,-77.03,-88.07,13.24,442.87,548.03,567.81,655.52,441.96,83.44,10.13,134.52,88.5,-81.24
-3.34,-4,-4,-4,-4,0.26,-1.85,-0.01,-0.18,-0.41,-3.03,-3.13,-1.16,3.41,4,4,1.08,2.82,1.74,1.55,1.47,1.92,2.08,3.52,3.3,0.15,-3.52,0.17,-0.62,-0.99,70.37,369.08,427,508.61,857.3,155.4,109.99,52.25,-28.87,-7.81,268.25,272.34,277.04,122.19,-96.98,118.77,63.42,-190.73,-53.77,-78.19,173.03,344.42,805.91,929.81,474.18,311.1,-6.71,57.56,17.03,-6.29
-4,-4,-4,-3.81,0.03,-0.11,-0.07,0.2,0.27,0.42,-3.06,-2.09,2.65,4,4,1.17,1.19,0.92,0.68,0.98,1.17,1.53,2.06,-0.44,-4,-0.75,-1.94,-0.83,-0.6,-0.6,103.27,379.64,430.3,407.17,574.46,-24.9,-15.69,14.83,33.14,52,258.67,225.1,239.14,190.12,-158.75,-49.13,73.73,-50.29,-35.34,-23.62,78.37,475.34,700.56,653.99,-100.4,34.06,90.76,25.76,19.41,13.31
-4,-4,-1.44,-0.71,0.1,-0.06,-0.37,-0.52,-0.65,-0.77,3.29,4,4,1.24,1.42,1.47,1.19,1.19,1.28,1.29,2.17,-0.48,-3.94,-1.92,-1.09,-1.09,-1.2,-1.49,-1.12,-1.05,738.59,414.61,692.32,-91.67,-49.32,28.56,3.97,4.88,16.11,-3.6,221.07,526,-115.17,-46.45,-44.37,-61.16,-7.69,-20.94,-74.65,-76.23,761.9,803.1,19.59,42.54,93.69,1.95,-22.09,-51.7,-109.74,-144.23
-4,-4,-4,0.56,-0.47,-0.06,0.03,-0.17,-0.57,-0.57,2.27,4,4,4,0.91,1.84,1.93,1.49,1.64,1.8,1.6,1.03,0.41,-3.19,-0.52,-1.1,-1.01,-1.36,-1.37,-1.09,530.94,321.23,790.77,26.12,-119.08,39.61,-31.13,11.29,-16.78,-34.67,293.15,391.17,-251.53,146.3,13.43,15.26,-20.51,-27.1,-48.1,-102.23,983.83,1004.64,493.77,181.09,-10.5,66.89,44.43,-44.8,-54.81,-106.14
