aX,aY,aZ,gX,gY,gZ
-1.38,-1.31,0.28,99.06,-185,125.24
-0.41,-0.84,0.33,6.53,44.86,193.97
0.02,-0.42,-0.47,26.49,110.47,219.24
-4,2.82,-1.05,-33.2,42.05,-235.29
-4,4,-1.28,-19.35,-26.18,-949.4
-4,4,-4,541.87,92.35,-1998.23
-4,1.28,-2.58,-35.03,117.55,-1947.39
-4,-1.51,-3.45,374.94,-507.08,-525.02
-4,-1.91,0.69,-109.99,46.45,-184.27
-1.21,-1.91,-0.34,29.36,-7.51,77.27
-0.01,-0.44,0.54,60.55,-23.8,189.21
0.47,-0.01,-0.63,13.73,145.45,160.34
0.36,-0.49,-0.99,53.1,126.28,168.76
-3.72,2.11,-3.53,325.56,168.82,-38.27
-4,4,-3.18,223.27,78.19,-618.53
-4,4,-3.85,402.65,170.04,-1517.58
-4,4,-3.9,258.42,18.68,-1989.56
-4,-0.85,-2.41,243.71,-12.51,-1272.16
-4,-0.61,-1.54,182.5,-164.73,-494.93
-3.03,-2.18,-0.57,-43.95,125.85,-145.63
-1.36,-1.67,-0.4,-9.09,-82.95,117.13
-0.49,-0.47,0.58,-20.69,-69.82,205.02
-0.24,-0.39,-0.14,66.65,56.82,223.88
-4,3.14,-3.98,128.97,57.92,-158.63
-4,4,-4,522.34,-61.1,-1393.74
-4,4,-4,115.17,-270.94,-2000
-4,-1.06,-0.8,132.02,-344.18,-1411.93
-4,-2.99,0.59,-171.45,-60.18,-601.68
-3.77,-2.64,0.87,110.29,-134.77,-139.89
-0.95,-0.99,0.3,163.94,-98.63,186.52
0.52,-0.13,-0.33,29.97,41.5,183.29
0.51,-0.19,-0.46,57.43,17.27,93.26
0.1,-0.76,-0.93,34.85,62.32,88.93
-3.97,3.43,-4,116.82,89.11,-147.77
-4,4,-3.06,219.73,-126.1,-913.82
-4,4,-4,540.22,-69.03,-1999.57
-4,-0.5,-1.16,-111.39,-169.98,-1617.92
-4,-0.52,-1.84,61.71,-264.47,-666.2
-4,-1.53,0.87,-6.71,33.69,-261.23
-2.39,-1.95,-0.03,145.87,-122.19,92.77
-0.98,-0.32,0.88,60.73,-142.27,258.24
0.07,0.06,0.22,32.59,34.36,226.99
0.28,-0.31,-0.24,24.11,37.84,203.74
-4,2.46,-1.5,97.84,123.72,-208.01
-4,4,-1.72,159.18,2.38,-766.54
-4,4,-3.36,443.12,142.4,-1951.29
-4,1.78,-1.71,-97.17,138.79,-1734.56
-4,-1.4,-1.88,308.96,-56.21,-781.31
-4,-2.51,-0.42,-46.94,-2.44,-326.17
-2.02,-1.8,-0.6,43.27,-95.89,109.8
-0.73,-0.6,0.75,37.17,-164.73,223.14
0.11,-0.2,-0.01,-12.39,39.73,196.9
0.39,-0.29,-0.39,24.96,18.68,211.49
-2.94,1.73,-2.73,229.43,187.19,-45.65
-3.31,4,-3.43,275.33,77.88,-433.04
-4,4,-3.26,460.27,9.46,-1491.33
-4,4,-3.53,367.37,100.52,-1861.27
-4,1.08,-1.85,202.09,38.33,-1214.23
-4,-2.02,-2.29,206.3,23.86,-512.27
-3.35,-2.16,-1.69,-153.02,114.56,-133.73
-1.78,-1.33,0.12,39.43,-206.48,113.4
-0.77,-1.1,0.29,-38.88,1.65,184.88
0.06,-0.37,-0.3,10.93,49.13,191.89
-2.85,1.8,-2.56,134.7,107.12,24.41
-4,4,-3.13,171.51,24.48,-377.2
-4,4,-3.99,539.61,-28.81,-1240.48
-4,4,-4,428.04,214.84,-1999.69
-4,-4,-1.75,280.03,11.6,-917.18
-4,-1.91,-2.03,89.42,-58.96,-364.07
-2.49,-1.96,-1.08,28.32,74.16,-76.23
-0.95,-1.13,0.01,103.39,-239.99,132.93
0.08,-0.45,0.37,-14.71,9.03,172.73
0.35,-0.39,-0.46,6.41,68.42,151.25
-4,3.3,-0.05,-125.49,30.21,-535.03
-4,4,-2.92,321.04,-24.17,-1326.6
-4,4,-4,470.46,287.23,-1892.09
-4,1.38,-4,723.14,-91.55,-1275.33
-4,-2.32,-2.15,-24.9,333.62,-796.69
-3.66,-2.73,-0.63,-90.64,24.29,-19.84
-2.41,-1.53,0.09,50.17,-198.85,282.59
-0.88,-0.27,0.47,-59.94,21.73,413.45
0.1,0.2,-0.56,-97.05,198.91,323.06
0.09,0.17,-0.62,-22.4,65.06,278.99
-4,4,-1,178.41,-21.48,-929.87
-4,4,-2.96,449.28,148.5,-1709.78
-4,3.2,-2.68,190.98,240.11,-1524.66
-4,-0.76,-1.74,169.68,175.66,-892.7
-4,-2.17,-1.01,-151.06,87.65,-373.17
-2.57,-1.99,-0.43,-67.93,-0.73,-15.87
-1.07,-1.13,-0.51,121.83,-120.97,161.25
-0.37,-0.36,-0.65,40.1,-21.79,206.05
-0.02,-0.2,-0.79,-26.06,16.97,223.51
-0.09,-0.43,-0.76,9.52,-35.46,211.67
-3.8,2.46,-1.06,-173.34,-40.34,-309.08
-4,4,-0.47,77.27,-52.55,-971.01
-4,4,-4,179.87,220.76,-1962.22
-4,-0.12,-1.13,-155.21,-58.53,-1819.34
-4,-4,-1.77,13,17.52,-679.08
-2.71,-2.32,0.66,-566.47,33.75,-109.31
-1.02,-1.23,1.98,174.26,-163.57,125.85
-0.2,-0.67,0.31,153.02,85.75,89.42
0.11,-0.88,-0.93,80.87,117,104.25
0.02,-0.69,-0.37,77.94,-11.41,176.7
-4,3.8,-2.69,108.15,82.58,-280.82
-4,4,-4,430.73,3.11,-1089.11
-4,4,-4,251.89,-0.49,-2000
-4,-1.3,-1.67,-37.66,-214.78,-1300.78
-4,-1.11,-0.62,-21.67,-211,-531.49
-3.53,-2.35,0.83,-109.25,2.08,-206.73
-1.63,-1.52,0.38,186.52,-151.61,150.94
-0.49,-0.51,0.3,64.58,-23.8,223.27
0.13,-0.35,-0.33,36.25,76.05,206.6
0.08,-0.5,-0.25,42.24,61.34,209.78
-4,3.38,-1.13,-82.4,-28.87,-394.96
-4,4,-0.95,254.88,2.26,-1366.82
-4,4,-4,337.34,85.45,-1815.19
-4,-1.52,-2.35,224.24,128.66,-1209.05
-4,-1.65,-2.02,149.05,15.32,-579.9
-3.1,-1.59,0.29,-113.28,27.89,-162.6
-1.47,-1.75,0.3,48.34,-52.37,40.89
-0.69,-0.79,0.23,37.17,-40.59,189.88
-0.21,-0.65,-0.15,-12.08,98.08,193.18
-0.39,-0.61,-0.66,55.66,94.54,262.63
-4,4,-1.96,44.49,-49.99,-744.14
-4,4,-3.61,298.95,70.19,-1951.97
-4,3.07,-0.73,-94.12,-62.5,-1801.7
-4,-1.71,-0.93,437.5,-47.73,-695.56
-4,-1.11,-1.25,-62.26,73,-347.47
-2.74,-2.23,-0.92,140.81,-137.21,-27.28
-0.99,-1.02,-0.41,56.88,-83.07,190.43
-0.38,-0.6,-0.53,-69.21,50.54,243.35
-0.15,-0.4,-0.93,-23.32,49.19,235.78
-0.22,-0.51,-0.99,40.34,-40.53,288.76
-4,3.41,-0.42,6.23,53.16,-373.29
-4,4,-2.12,477.54,154.91,-1218.69
-4,4,-4,429.75,403.32,-1882.02
-4,-2.07,-1.53,-139.89,250.73,-1385.5
-4,-1.12,-2.09,162.05,-65.06,-444.4
-2.99,-1.9,0.08,-276.06,11.23,-149.96
-1.29,-1.36,0.09,68.36,-115.23,49.01
-0.84,-0.97,0.71,25.57,-75.32,154.6
-0.63,-0.66,0.33,7.51,106.32,248.17
-0.46,-0.36,-0.3,60.73,100.89,308.35
-3.33,2.49,-2.16,214.54,97.84,-69.09
-3.41,4,-2.01,198.24,15.87,-484.13
-4,4,-1.7,208.86,102.72,-1233.89
-4,4,-1.18,296.69,185.97,-1859.99
-4,0.37,-2.48,316.1,302.25,-1108.4
-4,-2.62,-1.64,-102.17,191.35,-580.02
-3.23,-1.04,-0.91,-320.19,196.23,-131.29
-2.02,-1.31,-0.34,-71.17,-206.12,29.11
-1.54,-1.07,0.54,67.2,-278.26,183.59
-1.18,-0.9,0.22,-33.02,21.48,298.34
-4,2.13,-1.17,6.96,8.91,23.74
-4,2.86,-1.84,18.49,68.6,-591.43
-4,4,-4,371.09,-6.35,-1361.02
-4,4,-4,527.47,7.87,-2000
-4,-4,-2.39,406.92,251.46,-1131.53
-4,-1.5,-1.8,517.4,-277.22,-207.03
-2.28,-3.14,-0.74,-125.37,300.78,-178.83
-0.79,-0.76,-0.67,95.4,-155.03,180.66
-0.34,-0.51,0.24,-29.11,-85.57,233.28
-0.26,-0.33,-0.19,-57.98,71.04,287.96
-4,4,-4,624.27,305.05,-1999.27
-4,2.35,-3.03,181.15,322.81,-1581.73
-4,-2.23,-2.43,-97.11,57.5,-487.24
-3.99,-2.63,1.02,-118.9,-26.73,-282.1
-1.93,-2.16,0,138.24,13.92,37.72
-0.65,-1.18,-0.44,114.69,-1.04,136.05
-0.11,-0.63,-1.13,37.54,19.1,223.94
-0.21,-0.56,-0.84,42.72,-8.18,279.97
-0.2,-0.09,-0.88,38.09,-24.11,343.02
-0.31,0.04,-1.01,7.08,-65.49,353.82
-4,-2.77,1.35,-455.69,272.28,-1583.5
-4,-2.07,-1.78,334.53,-143.68,-516.17
-3.65,-3.09,0.75,-23.99,-42.48,-62.32
-0.94,-1.05,-0.68,125.67,-34.67,168.46
-0.38,-0.41,0.56,80.69,-104.61,219.12
-0.07,-0.42,-0.1,10.99,80.2,231.57
-0.01,-0.34,-0.68,23.44,70.68,312.19
-0.15,0.28,-0.76,8.12,46.63,376.34
-0.15,0.51,-0.86,-10.19,13.06,410.28
-0.45,0.48,-0.37,-58.47,-35.34,412.54
-4,-2.58,-0.96,-15.2,30.46,-1462.89
-4,-1.13,-1.99,207.76,-100.95,-511.17
-3.82,-2.52,-1.36,-37.9,75.5,-38.7
-1.29,-1.21,1.07,88.38,-261.9,126.77
-0.54,-0.44,0.12,70.31,84.9,179.44
0.41,-0.51,-1.35,31.31,114.87,165.28
-0.21,-0.6,-0.9,-2.99,-2.01,254.33
-0.56,-0.13,-0.27,-33.75,34.91,365.11
-0.33,-0.08,-1.07,-12.39,103.33,444.21
-0.9,0.34,-0.9,17.7,-26.79,439.82
-4,4,-4,417.24,-110.66,-1999.51
-4,-0.8,-1.45,92.22,-172.97,-1854.49
-4,-2.94,-2.17,96.19,-71.72,-598.51
-3.55,-3.19,-0.54,-25.39,36.25,-61.34
-1.38,-0.62,0.61,118.77,-228.33,283.08
0.45,0.38,0.44,-117.43,143.62,226.62
0.57,-0.14,-0.51,1.77,106.69,117.8
0.5,-0.5,-0.4,3.54,10.44,197.45
0.19,0.21,-0.38,37.17,40.95,280.52
-0.2,0.14,-0.38,18.31,77.39,297.06
-4,4,-4,219.54,149.6,-120.24
-4,4,-4,439.88,-11.84,-1304.87
-4,4,-4,335.88,0.79,-2000
-4,-4,-3.21,465.52,-344.73,-751.65
-3.87,-3.85,-1.47,-34.61,-88.99,-208.56
-0.75,-1.1,0.55,20.2,-211.3,149.48
-0.13,-0.63,1.57,-13.61,-52.67,26.67
0.13,-0.68,-0.13,-2.93,111.02,6.9
0.39,-0.6,-0.04,-43.09,43.21,96.31
0.39,0.02,-0.03,-26.67,54.69,139.59
-4,0.85,-2.35,167.91,239.26,106.32
-4,4,-3.83,170.72,160.03,-136.84
-4,4,-3.08,259.7,149.17,-1566.47
-4,4,-4,445.25,434.33,-1998.23
-4,-3.19,-4,154.17,-229.86,-1140.44
-4,-4,-0.01,163.7,-259.09,-524.54
-3.36,-3.05,0.34,83.31,-177.61,104.37
-0.26,-0.91,0.83,22.58,-20.69,143.98
0.74,-0.16,-0.46,-15.5,95.7,127.26
0.85,0.1,-0.54,-45.59,14.22,62.44
-4,0.84,-2.76,139.83,253.54,-63.42
-4,4,-2.72,21.36,145.39,-413.94
-4,4,-2.91,346.01,173.83,-1411.99
-4,-0.66,-4,318.36,534.85,-1943.05
-4,-4,0.03,114.2,-466.98,-532.71
-4,-4,-1.36,49.19,-34.79,-434.63
-1.64,-2.91,1.96,157.59,-163.39,-34.91
-0.26,-1.15,0.41,34.79,103.76,40.95
0.34,-0.6,-0.75,15.5,108.46,70.5
0.77,0.06,-0.4,-9.22,45.59,136.35
-4,1.33,-2.32,45.59,118.71,-42.6
-4,4,-1.54,44.86,60.79,-559.14
-4,4,-3.8,529.24,276.79,-1941.16
-4,-0.57,-4,62.5,249.02,-1981.32
-4,-4,-4,470.28,-260.07,-813.17
-4,-3.52,-1.97,-150.27,134.52,-319.52
-1.64,-1.92,0.17,10.62,-286.56,50.78
-0.15,-0.78,1.03,-70.92,56.58,87.71
0.51,-0.78,-0.61,-13.61,137.57,64.21
0.57,-0.34,-0.35,-3.91,9.09,131.84
-4,1.52,-2.16,117.43,135.62,-145.75
-4,4,-2.01,149.17,32.9,-598.21
-4,4,-2.01,463.99,359.86,-1853.15
-4,0.96,-4,357.42,352.78,-1813.54
-4,-3.15,-3.95,32.84,-91.43,-678.71
-3.74,-3.06,-1.17,-176.82,21.24,-314.88
-2.41,-2.33,1.13,54.32,-194.03,34
-0.72,-1.38,0.25,-31.07,116.21,55.11
0.11,-0.92,-0.8,36.68,97.66,137.88
0.61,-0.1,-0.67,16.6,9.89,211
-4,1.58,-1.88,62.38,130,-228.27
-4,4,-1.87,164.18,80.44,-732.85
-4,4,-3.5,504.82,238.77,-1958.25
-4,1.31,-4,238.16,423.22,-1855.35
-4,-2.95,-4,267.15,-63.78,-744.69
-4,-2.17,-1.59,-258.67,-9.16,-204.41
-2.9,-1.92,1.72,10.44,-312.87,68.3
-0.53,-1.07,0.96,-43.95,129.7,94.24
0.02,-0.84,-0.91,22.52,107.42,100.16
0.39,-0.44,-0.81,-16.17,13.31,180.85
-4,1.67,-2.04,171.63,136.96,34.18
-4,4,-3.36,130,62.93,-276.25
-4,4,-2.03,220.58,152.1,-1675.35
-4,3.74,-3.12,524.41,401.49,-1909.61
-4,-0.74,-3.87,468.02,316.53,-1154.17
-4,-3.66,-2.75,-6.9,163.94,-498.96
-2.54,-1.68,-1.46,-36.74,-143.07,-54.81
-0.3,-1.13,0.48,-82.34,-158.69,161.38
0.17,-0.29,0.65,-56.15,15.99,118.23
0.42,-0.38,-0.47,-13.73,131.59,73.85
-4,1.54,-2.03,194.21,177.06,39.73
-4,4,-3.84,179.75,130.19,-317.57
-4,4,-0.81,200.13,88.56,-1712.77
-4,4,-4,814.21,424.01,-1745.54
-4,-3.96,-4,103.15,391.48,-1390.08
-4,-3.09,-3.4,-7.87,-67.75,-222.96
-2.52,-1.72,-0.51,11.11,-287.23,112.3
-0.28,-0.61,1.38,-11.9,-98.21,216.19
0.39,-0.13,0.01,-67.5,148.01,113.04
0.56,-0.43,-0.64,-32.78,142.33,94.48
-4,2.01,-2.52,168.21,194.52,-33.26
-4,4,-2.49,-19.71,-23.38,-606.26
-4,4,-3.09,450.93,191.35,-1999.94
-4,0.91,-3.15,254.27,354.13,-1729.68
-4,-3.76,-2.74,41.99,131.16,-830.87
-4,-3.2,-1.36,-57.37,-15.63,-291.02
-2.58,-1.96,-0.45,20.26,-232.3,81.42
-0.18,-0.62,0.92,-79.04,-51.03,211.98
0.47,-0.15,-0.24,-24.9,85.94,128.17
0.44,-0.39,-0.4,22.09,29.36,126.77
-4,1.35,-2.24,128.42,122.07,-17.03
-4,4,-2.37,195.92,-46.02,-452.27
-4,4,-4,510.62,176.82,-1883.24
-4,2.71,-4,113.83,358.4,-1897.16
-4,-3.96,-2.77,502.32,-72.51,-743.65
-4,-3.73,-2.65,-104.86,240.48,-110.78
-1.12,-1.58,-0.18,41.56,-255.86,147.89
0.37,-0.43,0.52,-131.1,63.6,180.42
0.57,-0.4,-0.85,-67.87,137.21,130.43
0.49,-0.4,-0.85,-31.07,10.93,161.19
-4,0.98,-2.32,159.12,271.24,68.12
-4,4,-3.4,102.05,109.86,-198.12
-4,4,-1.85,118.65,49.38,-1292.54
-4,4,-3.74,499.94,395.51,-2000
-4,-1.89,-2.83,340.15,199.28,-1428.22
-4,-3.6,-2.98,-51.57,222.66,-336.12
-2.7,-2.22,-1.66,-48.52,-216.67,47.49
-1.12,-1.26,1.74,-240.3,-89.11,213.5
0.68,0.22,-0.6,-129.39,196.35,189.51
0.68,-0.23,-0.5,25.88,-14.53,115.91
-4,1.36,-1.94,101.32,147.71,78.43
-4,4,-3.53,186.65,28.93,-404.85
-4,4,-3.87,413.76,60.67,-1827.94
-4,2.22,-3.81,41.08,322.08,-1979.74
-4,-3.1,-1.47,391.48,-141.42,-821.17
-4,-3.69,-1.75,40.16,86.55,-292.11
-1.56,-1.4,-0.46,40.77,-227.91,70.92
0.27,-0.29,0.9,-47.06,-32.59,157.29
0.39,-0.13,-0.44,-36.87,114.81,66.83
0.24,-0.69,-0.78,-7.14,71.17,69.64
-3.54,1.82,-1.95,12.02,107.06,-241.94
-4,4,-3.47,246.83,-31.25,-863.83
-4,4,-4,567.26,69.4,-1999.69
-4,-1.05,-3.98,185.55,105.71,-1723.27
-4,-2.68,-3.39,319.15,-118.53,-771.42
-3.29,-3.93,-1.72,-100.16,128.97,-239.07
-2.27,-1.51,1.37,18.68,-255.8,143.19
-0.43,-0.76,0.4,-51.51,87.59,166.81
-0.03,-0.79,-0.71,-34.48,115.6,168.33
0.01,-0.72,-0.91,-55.85,63.11,279.91
-4,1.99,-2.42,61.95,117.37,-110.11
-4,4,-2.16,135.99,-45.1,-833.92
-4,4,-4,497.25,140.32,-2000
-4,-1.66,-0.65,52.86,140.69,-1875.92
-4,-3.74,-4,389.28,32.84,-668.76
-3.72,-2.84,-1.6,-168.88,8.3,-11.41
-0.68,-1.09,0.83,18.86,-196.78,108.03
0.55,-0.18,-0.34,-8.97,115.54,85.69
0.27,-0.85,-1.43,-30.33,103.76,48.71
0.06,-0.88,-0.85,-31.43,-27.22,144.96
-4,1.07,-2.3,140.2,265.5,45.84
-4,3.91,-3.72,75.56,143.74,-450.38
-4,4,-3.51,324.71,-113.4,-1652.1
-4,4,-4,517.82,311.34,-1999.94
-4,-3.59,-3.24,317.32,73.55,-1053.89
-4,-4,-0.56,-56.82,28.75,-370.54
-1.87,-1.26,1.01,79.16,-253.97,160.34
0.36,-0.07,0.69,76.6,63.11,178.04
0.99,-0.31,-0.77,2.99,136.96,124.69
0.82,0.09,-0.55,-59.69,-2.62,151.98
-3.79,-0.5,-2.89,159.85,306.21,32.9
-4,3.74,-3.92,83.56,135.5,-268.74
-4,4,-2.41,169.13,-107.06,-1529.42
-4,4,-4,857.79,352.05,-2000
-4,2.97,-4,596.5,421.75,-1525.02
-4,-1.82,-4,296.45,110.23,-511.6
-3.93,-4,-2.25,19.96,53.04,-86.79
-1.46,-0.85,-0.57,-164.12,-162.84,327.51
0.31,0.78,0.27,-213.87,106.93,154.79
-0.23,-0.86,-1.09,-75.62,152.28,64.27
-4,2.79,-1.88,33.33,108.83,-503.3
-4,4,-3.82,236.82,-0.67,-1464.17
-4,4,-4,383.79,34.91,-2000
-4,-1.78,-4,296.69,195.98,-1564.33
-4,-4,-0.8,-151.92,183.9,-320.07
-2.24,-1.06,-1.56,114.93,-354,292.05
0.07,1.55,2.96,-105.47,-186.83,283.69
0.6,-0.24,-1.01,-3.54,232.54,-13.92
0.15,-1.07,-0.48,-14.1,19.47,8.91
0.15,-0.6,-0.32,12.08,38.33,122.01
-4,1.24,-2.86,110.84,226.93,53.22
-4,4,-2.07,-15.99,62.74,-516.97
-4,4,-2.22,341.74,173.65,-1931.52
-4,4,-4,547.49,313.23,-1903.02
-4,0.37,-4,406.49,304.38,-1204.04
-4,-3.24,-2.98,159.06,281.49,-512.08
-2.46,-2.18,-3.42,43.64,-108.83,50.9
-0.1,0.88,3.18,-46.26,-318.05,206.54
0.12,-0.44,-0.26,-2.87,237.3,-9.58
0.13,-0.8,-1.55,-24.11,128.97,50.29
-4,1.25,-2.36,88.56,224.67,-19.9
-4,4,-1.87,-55.73,24.54,-619.87
-4,4,-1.87,327.94,186.4,-2000
-4,3.56,-3.31,157.04,265.08,-1988.34
-4,-3.97,0.92,174.74,101.38,-1199.77
-4,-2.87,-4,359.31,277.77,-100.77
-2.31,-1.27,-1.73,-92.77,-443.91,116.46
-0.46,-0.16,2.17,-169.62,77.09,176.64
0.57,0.43,-1.91,-1.83,183.47,48.22
-0.02,-1.08,-1.11,37.23,-54.75,31.98
-2.94,1.31,-3.38,-13.55,138,-5.19
-4,4,-0.53,-121.46,-96.92,-555.42
-4,4,-4,420.1,-46.08,-1724.12
-4,4,-4,246.03,-88.44,-2000
-4,-3.33,-1.7,-5.68,-71.84,-1194.82
-4,-4,1.92,-141.6,42.3,-444.27
-2.7,-2.31,-1.02,196.9,-233.64,252.75
0.62,0.6,1.22,19.78,-82.15,261.11
0.74,0.19,-0.2,41.5,108.28,105.9
0.45,-0.48,-1,-6.47,114.14,35.77
-4,2.41,-1.17,50.29,73.67,-113.89
-4,4,-0.77,-76.78,-56.58,-867.07
-4,4,-2.25,296.51,105.1,-2000
-4,1.21,-2.48,327.64,140.01,-1884.58
-4,-3.96,-2.99,219.24,54.93,-732.42
-4,-3.23,-2,-24.78,107.67,-207.34
-1.22,-2.03,-0.69,47.91,-242.92,137.88
0.59,0.55,1.07,-20.51,-1.16,183.65
0.75,-0.11,-0.45,-15.14,124.76,25.76
0.05,-0.85,-0.89,6.16,79.41,21.48
-4,1.24,-2.23,88.44,122.99,-97.78
-4,4,-1.87,-35.71,11.84,-621.77
-4,4,-1.33,160.58,-77.58,-1953.8
-4,2.26,-1.13,221.37,173.03,-1832.09
-4,-2.84,-2.88,194.15,232.3,-1133.42
-4,-4,-1,-155.88,84.9,-345.76
-1.95,-1.21,0.39,-48.83,-184.51,187.26
-0.36,-0.31,1.18,64.82,39.86,181.64
0.29,-0.62,-1.11,-50.78,154.05,124.21
0.19,-0.28,-0.73,-10.68,-8.18,148.38
-4,1.56,-1.73,-39.37,42.85,-185.55
-4,4,-0.82,-107.06,-94.97,-840.94
-4,4,-3.65,482.6,-136.47,-1999.57
-4,-0.27,-1.88,-12.27,115.72,-1857.73
-4,-3.08,-2.45,394.59,-61.71,-891.54
-4,-4,-0.44,-22.95,124.63,-270.39
-1.71,-1.5,-0.72,132.26,-199.1,215.88
0.25,0.05,0.71,-22.46,-58.78,255.92
0.34,-0.17,-0.07,-41.08,94.67,208.31
0.09,-0.45,-0.58,61.89,59.27,201.54
-4,2.17,-1.78,3.42,69.58,-89.48
-4,4,0.33,-61.34,-65,-776.31
-4,4,-2.29,404.85,247.25,-1996.7
-4,3.67,-2.25,185.42,319.46,-1971.31
-4,-3.74,-2.7,-15.81,239.81,-960.14
-4,-3.82,-0.77,-180.91,56.21,-143.68
-2.1,-1.48,-0.04,40.1,-207.58,229.74
-0.18,-0.04,0.77,34.06,-39.43,257.02
0.29,-0.38,-0.73,-7.69,139.22,169.86
0.08,-0.45,-0.83,52.43,26.49,198.97
-4,2.3,-1.32,-27.83,82.64,-305.05
-4,4,-3.23,108.09,-64.27,-1157.04
-4,4,-4,628.11,-164.49,-2000
-4,1.71,-1.4,69.58,101.26,-1533.26
-4,-2.37,-0.18,152.47,140.26,-825.93
-4,-3.44,-1.72,189.33,150.88,-25.39
-2.36,-0.87,-0.71,212.16,-452.15,403.38
0.21,0.01,0.21,-127.69,103.39,260.44
0.39,-0.33,-0.61,-30.15,114.81,228.21
-0.06,-0.37,-0.61,16.66,25.76,287.6
-4,4,-3.22,306.46,-49.44,-1490.72
-4,4,-4,548.89,136.41,-2000
-4,-1.58,-0.95,141.05,71.17,-1165.59
-4,-1.54,-0.46,47.06,-69.58,-530.03
-3.59,-2.28,-1.11,122.8,70.98,-130.92
-2.1,-1.59,-0.85,148.19,-241.27,149.6
-0.21,-0.19,0.21,-50.96,-8.61,257.63
0.27,-0.29,-0.38,30.7,106.81,180.3
0.05,-0.33,-1.14,134.58,40.71,187.44
0.2,0.33,-0.63,32.71,-45.59,208.8
-4,0.81,-2.91,167.36,190.25,211
-4,3.47,-4,90.7,68.79,-98.63
-4,4,-2.2,351.68,-154.85,-1334.72
-4,4,-3.72,468.14,193.54,-2000
-4,-3.96,-4,771.42,60.36,-1506.29
-4,-4,-2.7,239.81,6.77,-347.72
-1.95,-1.43,-2.67,-42.85,57.68,157.59
0.18,-0.7,-0.43,-124.76,-95.52,204.22
0.64,-0.05,-0.28,-189.58,55.3,203.74
0.87,0.11,-1.09,-134.83,143.37,168.33
-4,4,-3.49,156.01,-123.17,-920.29
-4,4,-4,795.1,107.42,-1989.93
-4,0.43,-3.99,94.48,-89.78,-1742.92
-4,-2.47,0.03,250.37,-126.1,-657.59
-4,-3.4,-1.72,309.57,175.96,-209.41
-1.87,-1.83,-1.72,118.71,-120.18,174.19
-0.34,-0.44,0,-132.81,-75.87,303.59
0.66,0.34,-0.04,-50.78,118.59,328.92
-0.1,-0.11,-0.66,-12.7,135.5,297.24
-0.26,-0.09,-0.98,-26.79,146.12,397.4
-4,1.54,-3.59,204.65,-15.2,-1999.27
-4,-4,-1.76,294.68,-189.33,-1039.67
-4,-3.45,0.28,-158.75,47.79,-195.8
-1.34,-1.65,-0.16,140.44,-88.38,173.83
0.2,-0.25,0.28,34.18,-21.97,226.56
0.96,0.08,-0.18,49.62,159.97,177.98
0.61,-0.41,-1.38,81.05,132.32,121.28
0,-0.1,-1.29,85.14,-90.58,217.83
-0.23,-0.64,-0.98,-75.74,-16.66,299.62
-0.38,0.38,-1.1,-47.97,-187.74,457.76
-4,-4,0.99,-9.46,-267.58,-1273.74
-4,-3.56,1.08,70.19,-138.98,-369.32
-2.88,-3.19,-1,152.95,79.16,4.7
-0.02,-0.87,-0.29,107.91,-124.57,225.71
0.8,0.59,0.06,-37.6,3.72,203.49
0.86,0.2,-0.44,46.39,64.94,95.4
0.72,-0.21,-0.75,63.72,55.85,128.54
0.25,-0.03,-0.69,25.02,22.77,202.51
-0.14,-0.27,-0.68,30.46,40.77,282.78
-0.54,-0.25,-1.61,28.5,6.04,400.15
-4,2.87,-3.6,24.05,-18.19,-1993.04
-4,-2.75,-1.96,281.25,-120.67,-1139.77
-4,-4,0.32,57.68,-13.79,-451.78
-2.5,-2.55,0.06,87.1,-192.14,197.08
-0.26,-0.22,0.42,-29.6,-33.26,313.66
0.85,0.18,-0.37,22.95,61.34,216.86
0.41,-0.29,-0.32,86.73,32.59,164.25
0.09,-0.67,-0.95,49.8,88.62,228.09
-0.48,-0.81,-1.24,-39.18,-37.11,349.67
-0.82,-0.29,-0.27,0.92,-88.62,471.8
-4,0.95,-2.25,85.82,76.48,71.72
-4,4,-3.54,125.31,-154.66,-474.98
-4,4,-4,644.35,-230.53,-1705.02
-4,1.79,-4,-95.21,35.34,-1989.2
-4,-3.29,-0.06,401.55,-437.5,-839.23
-4,-4,0.32,126.28,86.49,-390.93
-1.56,-1.79,-1.73,204.35,31.86,136.11
0.07,-0.15,-0.08,61.16,-170.35,262.88
0.63,0.19,0.34,-37.9,23.86,179.93
0.62,0.15,-0.42,52.67,15.26,144.41
-3.25,0.89,-3.37,60.18,117.49,86.3
-4,4,-1.52,-44.43,-168.4,-342.9
-4,4,-3.92,540.77,36.93,-1672.61
-4,3.88,-4,-57.07,34.85,-2000
-4,-4,-1.39,141.6,-268.55,-1146.36
-4,-3.84,1.29,-342.53,-83.5,-420.9
-2.84,-3.2,1.01,136.66,-119.69,101.75
-1,-0.67,1.41,138,-28.56,356.32
1.06,0.64,-0.99,33.45,122.56,232.79
0.92,0.25,-0.47,65.31,-9.34,186.04
-3.26,-0.38,-3.87,140.38,409.18,100.71
-4,4,-4,227.42,240.42,-119.75
-4,4,-4,446.04,-90.88,-1240.05
-4,4,-4,129.94,-353.33,-2000
-4,-3.75,-0.78,579.41,-543.21,-884.89
-4,-3.61,1.05,37.11,-22.16,-416.32
