aX,aY,aZ,gX,gY,gZ
-4,-2.42,-3.07,400.27,-85.45,-766.91
-4,-2.77,-0.64,-256.1,99.37,-41.14
-0.76,-0.74,1.44,-23.56,-272.52,267.52
0.73,0.17,0.63,82.34,73.67,131.1
0.88,-0.4,-0.77,138.43,110.17,73.97
0.62,-0.22,-0.56,102.29,-6.9,88.81
-3.7,0.79,-2.82,61.46,195.43,-42.6
-4,4,-2.21,0.61,15.14,-675.48
-4,4,-4,559.81,55.05,-1999.57
-4,3.82,-0.22,-146.3,-137.7,-1999.02
-4,-3.04,-1.87,665.47,-102.36,-954.53
-4,-2.46,-2.24,127.14,155.94,-134.09
-0.66,-0.95,-0.56,-0.12,-300.54,125.79
0.82,0.12,0.26,-146.85,-55.36,198.43
0.92,-0.02,-0.27,-15.87,51.76,57.19
0.47,-0.41,-0.65,6.65,19.59,53.77
-4,1.43,-2.93,76.66,150.76,-183.47
-4,4,-3.75,150.82,12.15,-874.69
-4,4,-4,584.66,62.93,-2000
-4,3.27,-1.19,97.78,56.15,-1961.73
-4,-3.13,-3.11,455.81,46.69,-707.34
-3.63,-2.73,-2.49,23.32,-38.39,-19.65
-0.76,-1.07,0.81,-107.67,-264.4,144.1
0.75,-0.72,-0.37,-54.2,254.03,180.3
0.4,-0.56,-1.11,17.64,46.88,55.6
0.06,-0.49,-0.87,-14.28,-21.67,113.22
-3.75,1.35,-3.14,105.35,175.9,-143.13
-4,4,-2.49,151.31,21.48,-813.35
-4,4,-4,608.76,263.98,-1908.26
-4,2.33,-3.18,248.05,242.68,-1999.02
-4,-3.75,-4,613.04,-4.39,-844.67
-4,-2.69,-2.46,-225.77,224.24,-82.82
-0.94,-1.27,-0.14,42.11,-252.56,126.22
0.18,-0.88,0.84,-38.88,82.21,81.54
0.56,-0.7,-1.21,15.44,155.58,107.36
0.41,-0.38,-0.81,12.08,30.76,154.66
-3.39,1.3,-3.05,51.27,74.28,-183.9
-4,4,-2.84,162.66,-19.53,-712.34
-4,4,-4,448.61,-106.99,-1914.67
-4,4,0.73,143.19,-50.6,-1998.9
-4,-3.99,-4,630.86,102.17,-1067.38
-4,-3.47,-2,-469.24,186.52,47.85
-0.02,0.97,2.35,82.09,-418.15,360.35
0.77,0.02,0.43,5.86,172.18,91.19
0.58,-0.33,-1.15,15.56,140.81,79.9
0.07,-0.25,-0.94,25.21,18.74,141.48
-3.05,1.53,-2.87,64.88,57.8,-114.07
-4,4,-3.04,144.78,-83.31,-618.71
-4,4,-4,618.84,-168.46,-1874.51
-4,4,-2.5,116.03,-14.65,-2000
-4,-2.75,-2.68,270.26,-158.45,-743.29
-4,-2.23,0.09,-345.15,62.87,-168.21
-0.6,-0.83,1.28,47.61,-152.65,245
0.14,-0.32,0.41,188.84,-21.24,89.23
0.25,-0.45,-0.8,125.31,66.89,92.83
0.47,-0.28,-0.77,62.44,-6.41,150.88
-4,4,-4,202.58,170.04,-218.63
-4,4,-4,241.58,-15.99,-1151.25
-4,4,-1.03,273.5,-24.9,-2000
-4,3.39,-4,1309.39,157.53,-1745.97
-4,-4,-4,155.21,177.31,-262.94
-1.7,-0.31,-1.9,-284.06,-176.7,272.77
0.73,0.35,1.19,-67.69,-149.11,256.35
0.65,0.33,-0.45,-56.76,206.42,35.22
0.12,-0.72,-1.61,12.57,85.21,-10.01
0.01,-0.32,-0.94,-85.75,4.27,135.93
-3.46,1.02,-2.92,74.71,116.64,-136.47
-4,4,-3.5,252.69,2.14,-686.58
-4,4,-4,751.34,41.87,-1986.94
-4,3.17,-1.41,-192.87,-18.98,-1993.23
-4,-1.89,-2.25,276,-189.27,-828
-4,-3,0.19,-144.53,111.76,-280.15
-1.73,-0.97,1.02,184.02,-255.98,167.36
0.82,0.43,0.36,103.15,-30.21,110.9
0.63,-0.48,-0.76,85.82,24.23,35.03
-0.06,-0.85,-0.41,21.36,-8.48,108.34
-4,2.08,-3.42,112.3,211.43,-242.37
-4,4,-3.82,203.74,77.82,-1267.88
-4,4,-3.97,257.14,-18.74,-2000
-4,-0.85,-2.74,459.96,-99.3,-1660.71
-4,-3.21,-3.24,206.24,30.76,-561.04
-3.59,-2.85,-0.15,-267.09,52.19,-73.36
-0.84,-1.06,0.59,12.94,-83.25,169.07
0.68,-0.04,-0.61,-2.56,89.97,96.19
0.51,-0.57,-0.93,14.1,36.62,62.01
0.12,-0.61,-0.65,8.42,38.88,117.19
-4,1.51,-2.06,24.48,120.42,-84.66
-4,4,-1.64,33.26,-33.02,-780.4
-4,4,-4,616.21,92.41,-1959.29
-4,3.45,-2.53,-1.34,244.81,-1977.17
-4,-0.76,-1.13,60.91,-18.31,-875.37
-4,-4,1.32,-86.55,3.72,-206.36
-2.92,-1.77,0.03,223.33,-275.94,239.62
-0.36,0.13,0.4,44.01,-53.41,426.57
0.45,0.17,-0.49,-10.38,144.35,310
0.38,0.21,-0.66,84.66,65.8,301.03
-3.87,2.01,-1.77,55.73,174.87,-248.9
-4,4,-1.83,202.03,171.81,-786.56
-4,4,-3.47,603.33,287.6,-1923.89
-4,4,-4,397.09,386.84,-1908.94
-4,-1.96,-3.29,94.6,164.37,-937.62
-4,-3.51,-0.63,-235.11,175.17,-292.18
-2.43,-2.02,0.18,101.68,-343.99,243.59
-0.24,-0.32,0.59,105.47,-161.5,323.73
0.68,-0.11,-0.21,-13.61,89.36,274.66
0.74,0.39,-0.8,22.28,54.08,250.55
-4,2.46,-1,-21.42,102.36,-184.08
-4,2.45,-2.33,96.01,156.8,-842.35
-4,0.97,-3.56,312.81,-203.37,-1407.9
-4,4,-1.66,240.3,129.58,-1999.94
-4,-4,-4,484.37,32.29,-1068.73
-4,-3.06,-0.25,-322.27,17.21,-25.51
-0.88,-0.93,-0.16,-17.7,-31.37,224.79
0.73,0.17,0.26,43.7,-38.82,151.18
0.85,-0.24,-0.89,18.98,130.68,34.36
0.81,-0.21,-1.25,30.64,24.54,88.13
-3.97,1.87,-1.86,18.01,131.65,-27.04
-4,4,-0.52,-89.29,10.62,-703.37
-4,4,-4,577.94,289.18,-1880.55
-4,4,-3.99,179.5,235.84,-1999.88
-4,-0.95,-4,646.24,87.34,-1114.01
-4,-3.13,-2.4,-78.98,205.32,-372.8
-1.81,-0.98,-0.04,73.55,-372.62,185.3
0.12,-0.29,0.81,-56.58,6.16,162.72
0.7,-0.25,-0.53,29.11,110.05,78.49
0.5,-0.25,-0.88,28.5,41.81,71.11
-3.96,2.01,-2.31,36.87,127.14,-288.88
-4,4,-3.71,378.97,-10.5,-1060.73
-4,4,-4,593.57,89.29,-2000
-4,-1.61,-0.95,79.35,-225.83,-1549.56
-4,-2.13,-0.73,289.37,-8.91,-637.7
-4,-2.59,-3.21,242.61,220.83,-187.01
-0.83,-0.78,-0.22,42.18,-222.72,182.74
0.62,-0.55,-0.11,-112.24,67.14,141.42
0.85,-0.18,-0.76,-55.6,80.2,75.74
0.43,-0.55,-0.67,-1.65,21.97,44.56
-3.08,1.36,-3.58,112.55,193.97,-156.68
-4,4,-3.74,208.98,61.52,-772.64
-4,4,-4,842.71,14.16,-1994.38
-4,1.71,-4,390.62,17.88,-1959.23
-4,-3.69,-4,371.28,92.53,-714.97
-4,-2.26,-0.95,-271.18,34.61,-108.03
-1.02,-0.54,1.7,6.16,-313.54,203.55
0.54,-0.14,0.03,66.83,78.37,87.89
0.64,-0.35,-0.74,34.97,15.5,78.06
0.38,-0.53,-0.51,-47.3,52.06,102.36
-3.6,1.12,-2.8,137.57,433.9,17.7
-4,3.34,-2.76,-0.79,226.93,-601.44
-4,4,-3.57,536.68,65.25,-1866.88
-4,4,-4,667.36,600.89,-2000
-4,-1.19,-3.39,278.32,323.24,-1013.49
-4,-3.02,-0.2,-151.92,164.73,-288.64
-2.87,-1.24,0.25,65.61,-258.73,209.66
-0.46,-0.23,0.88,21.91,-30.76,227.91
0.68,-0.11,-0.21,34.48,22.58,194.03
0.75,0,-0.53,25.27,21.48,205.38
-3.9,1.36,-2.64,159.97,192.14,-104.61
-4,4,-3.08,139.34,53.34,-644.59
-4,4,-4,529.85,164.55,-1904.97
-4,4,-3.37,282.9,259.52,-2000
-4,-2.71,-3.96,690.12,-21.91,-814.27
-4,-1.75,-1.6,-270.57,98.82,-159.67
-1.38,-1.36,0.3,-43.64,-268.62,158.57
0.02,-0.19,1.09,-14.71,-82.34,131.71
0.49,-0.1,-0.73,41.08,141.42,77.64
0.72,-0.55,-1.14,-43.64,57.13,91.86
-3.86,1.42,-3.09,115.66,230.83,-57.56
-4,4,-3.34,110.96,-16.24,-821.59
-4,4,-4,800.78,252.99,-2000
-4,1.55,-3.6,30.33,155.4,-1869.32
-4,-1.89,-1.96,112.37,-213.26,-732.3
-4,-1.52,0.34,-25.57,50.54,-148.38
-1.79,-1.19,-0.07,163.21,-155.09,117.25
-0.2,-0.22,0.04,-11.17,34.18,183.53
0.33,-0.5,-0.5,-0.85,64.21,185.42
0.44,-0.51,-0.73,43.27,-18.86,263.85
-4,1.76,-2.06,34,-18.43,-184.81
-4,4,-2.51,207.4,-239.2,-997.92
-4,4,-4,760.01,111.21,-2000
-4,-0.93,0.47,44.31,104.25,-1715.39
-4,-4,-1.32,212.59,79.22,-497.31
-2.91,-0.99,-1.2,-68.24,85.39,147.95
0.37,0.07,0.27,32.53,-249.94,237.98
0.8,0.51,0.06,-39.18,19.71,129.64
0.85,-0.22,-0.38,-77.09,102.66,47.42
0.62,-0.37,-0.55,-9.46,40.89,83.56
-2.99,1.53,-3.06,60.36,255.49,-2.87
-4,4,-1.34,-0.18,-40.77,-689.7
-4,4,-4,759.89,210.27,-1992.49
-4,2.67,-3.94,107.42,211.12,-1998.84
-4,-3.29,-4,406.31,8.06,-835.69
-4,-3.2,-1.14,-289.86,37.23,-188.17
-1.82,-1.01,1.32,-31.8,-298.58,258.85
